Golfer,Id,Salary,Projection,exclude,lock,count,cap
Jordan Spieth,1,9900,107.5505,Jordan Spieth,Jordan Spieth,0,100
Dustin Johnson,2,9700,102.0705,Dustin Johnson,Dustin Johnson,0,100
Rory McIlroy,3,9600,81.2,Rory McIlroy,Rory McIlroy,0,100
Jon Rahm,4,9200,85.0045,Jon Rahm,Jon Rahm,0,100
Rickie Fowler,5,9000,103.7505,Rickie Fowler,Rickie Fowler,0,100
Sergio Garcia,6,8800,95.311,Sergio Garcia,Sergio Garcia,0,100
Jason Day,7,8800,74.058,Jason Day,Jason Day,0,100
Hideki Matsuyama,8,8700,106.8265,Hideki Matsuyama,Hideki Matsuyama,0,100
Brooks Koepka,9,8600,69.917,Brooks Koepka,Brooks Koepka,0,100
Henrik Stenson,10,8300,72.667,Henrik Stenson,Henrik Stenson,0,100
Adam Scott,11,8200,83.6105,Adam Scott,Adam Scott,0,100
Matt Kuchar,12,8000,85.2795,Matt Kuchar,Matt Kuchar,0,100
Justin Rose,13,7900,96.55,Justin Rose,Justin Rose,0,100
Alex Noren,14,7700,62.923,Alex Noren,Alex Noren,0,100
Paul Casey,15,7600,86.804,Paul Casey,Paul Casey,0,100
Justin Thomas,16,7400,78.7625,Justin Thomas,Justin Thomas,0,100
Tommy Fleetwood,17,7400,70.029,Tommy Fleetwood,Tommy Fleetwood,0,100
Branden Grace,18,7300,78.113,Branden Grace,Branden Grace,0,100
Rafa Cabrera Bello,19,7200,66.4375,Rafa Cabrera Bello,Rafa Cabrera Bello,0,100
Patrick Reed,20,7000,65.1135,Patrick Reed,Patrick Reed,0,100
Daniel Berger,21,6900,78.6375,Daniel Berger,Daniel Berger,0,100
Louis Oosthuizen,22,6700,82.2425,Louis Oosthuizen,Louis Oosthuizen,0,100
Phil Mickelson,23,6600,77.2375,Phil Mickelson,Phil Mickelson,0,100
Thomas Pieters,24,6600,58.375,Thomas Pieters,Thomas Pieters,0,100
Marc Leishman,25,6500,84.7505,Marc Leishman,Marc Leishman,0,100
Matthew Fitzpatrick,26,6500,65.267,Matthew Fitzpatrick,Matthew Fitzpatrick,0,100
Charl Schwartzel,27,6400,70.55,Charl Schwartzel,Charl Schwartzel,0,100
J.B. Holmes,28,6400,70.542,J.B. Holmes,J.B. Holmes,0,100
Charley Hoffman,29,6300,76.315,Charley Hoffman,Charley Hoffman,0,100
Zach Johnson,30,6300,69.0185,Zach Johnson,Zach Johnson,0,100
Lee Westwood,31,6300,67.731,Lee Westwood,Lee Westwood,0,100
Jason Dufner,32,6200,86.2255,Jason Dufner,Jason Dufner,0,100
