Golfer,Id,Salary,Projection,exclude,lock,count,cap
Tyrrell Hatton,33,6100,54.179,Tyrrell Hatton,Tyrrell Hatton,0,100
Jimmy Walker,34,6000,69.035,Jimmy Walker,Jimmy Walker,0,100
Chris Wood,35,6000,65.692,Chris Wood,Chris Wood,0,100
Gary Woodland,36,5900,79.6545,Gary Woodland,Gary Woodland,0,100
Francesco Molinari,37,5900,77.708,Francesco Molinari,Francesco Molinari,0,100
Bubba Watson,38,5900,62.7255,Bubba Watson,Bubba Watson,0,100
Kevin Kisner,39,5800,86.7815,Kevin Kisner,Kevin Kisner,0,100
Bill Haas,40,5800,66.925,Bill Haas,Bill Haas,0,100
Kevin Chappell,41,5700,67.2065,Kevin Chappell,Kevin Chappell,0,100
Bernd Wiesberger,42,5600,78.765,Bernd Wiesberger,Bernd Wiesberger,0,100
Andy Sullivan,43,5600,63.964,Andy Sullivan,Andy Sullivan,0,100
Xander Schauffele,44,5500,55.1435,Xander Schauffele,Xander Schauffele,0,100
Ross Fisher,45,5400,62.786,Ross Fisher,Ross Fisher,0,100
Brian Harman,46,5300,76.133,Brian Harman,Brian Harman,0,100
Russell Henley,47,5200,80.4065,Russell Henley,Russell Henley,0,100
Jhonattan Vegas,48,5200,57.9185,Jhonattan Vegas,Jhonattan Vegas,0,100
Si Woo Kim,49,5200,17.675,Si Woo Kim,Si Woo Kim,0,100
Emiliano Grillo,50,5100,68.013,Emiliano Grillo,Emiliano Grillo,0,100
Ryan Moore,51,5100,58.354,Ryan Moore,Ryan Moore,0,100
Kyle Stanley,52,5000,84.8745,Kyle Stanley,Kyle Stanley,0,100
Hideto Tanihara,53,5000,57.611,Hideto Tanihara,Hideto Tanihara,0,100
Brendan Steele,54,4900,73.5625,Brendan Steele,Brendan Steele,0,100
Russell Knox,55,4900,53.4875,Russell Knox,Russell Knox,0,100
Adam Hadwin,56,4800,63.4045,Adam Hadwin,Adam Hadwin,0,100
Danny Willett,57,4800,41.167,Danny Willett,Danny Willett,0,100
Thorbjorn Olesen,58,4700,62.533,Thorbjorn Olesen,Thorbjorn Olesen,0,100
Billy Horschel,59,4700,53.6455,Billy Horschel,Billy Horschel,0,100
Pat Perez,60,4700,52.582,Pat Perez,Pat Perez,0,100
Wesley Bryan,61,4600,64.2815,Wesley Bryan,Wesley Bryan,0,100
Thongchai Jaidee,62,4600,52.036,Thongchai Jaidee,Thongchai Jaidee,0,100
Satoshi Kodaira,63,4500,67.25,Satoshi Kodaira,Satoshi Kodaira,0,100
Andres Romero,64,4500,61.111,Andres Romero,Andres Romero,0,100
Sam Brazel,65,4500,60.433,Sam Brazel,Sam Brazel,0,100
Scott Hend,66,4500,56.844,Scott Hend,Scott Hend,0,100
Harold Varner III,67,4500,56.6775,Harold Varner III,Harold Varner III,0,100
Hudson Swafford,68,4500,55.6875,Hudson Swafford,Hudson Swafford,0,100
Fabrizio Zanotti,69,4500,53.567,Fabrizio Zanotti,Fabrizio Zanotti,0,100
Renato Paratore,70,4500,50.861,Renato Paratore,Renato Paratore,0,100
Bryson DeChambeau,71,4500,48.473,Bryson DeChambeau,Bryson DeChambeau,0,100
Mackenzie Hughes,72,4500,46.7,Mackenzie Hughes,Mackenzie Hughes,0,100
Jeunghun Wang,73,4500,43.353,Jeunghun Wang,Jeunghun Wang,0,100
Shaun Norris,74,4500,41.714,Shaun Norris,Shaun Norris,0,100
Rod Pampling,75,4500,39.2375,Rod Pampling,Rod Pampling,0,100
Paul Lawrie,76,4500,34.9,Paul Lawrie,Paul Lawrie,0,100
