Name,Position,ID,Salary,Game,Team,Opponent,Injury,fdp,exclude,lock,count,cap
Chris Hubert,WR,9227729,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Chris Hubert,Chris Hubert,0,100
Carlton Agudosi,WR,9227731,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Carlton Agudosi,Carlton Agudosi,0,100
Marquis Bundy,WR,9227733,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Marquis Bundy,Marquis Bundy,0,100
Brittan Golden,WR,9227735,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Brittan Golden,Brittan Golden,0,100
Hakeem Valles,TE,9227737,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Hakeem Valles,Hakeem Valles,0,100
Ricky Seals-Jones,TE,9227739,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Ricky Seals-Jones,Ricky Seals-Jones,0,100
Ifeanyi Momah,TE,9227741,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Ifeanyi Momah,Ifeanyi Momah,0,100
Jermaine Gresham,TE,9227743,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Jermaine Gresham,Jermaine Gresham,0,100
Gerald Christian,TE,9227745,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Gerald Christian,Gerald Christian,0,100
Troy Niklas,TE,9227747,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Troy Niklas,Troy Niklas,0,100
Cardinals ,DST,9227749,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Cardinals ,Cardinals ,0,100
Luke McCown,QB,9227415,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Luke McCown,Luke McCown,0,100
Kellen Moore,QB,9227416,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Kellen Moore,Kellen Moore,0,100
Dak Prescott,QB,9227417,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Dak Prescott,Dak Prescott,0,100
Cooper Rush,QB,9227418,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Cooper Rush,Cooper Rush,0,100
Ezekiel Elliott,RB,9227419,5500,DAL@LAR 09:00PM ET,DAL,LAR,O,5,Ezekiel Elliott,Ezekiel Elliott,0,100
Ronnie Hillman,RB,9227421,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Ronnie Hillman,Ronnie Hillman,0,100
Rod Smith,RB,9227423,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Rod Smith,Rod Smith,0,100
Keith Smith,RB,9227425,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Keith Smith,Keith Smith,0,100
Alfred Morris,RB,9227427,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Alfred Morris,Alfred Morris,0,100
Darren McFadden,RB,9227429,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Darren McFadden,Darren McFadden,0,100
Dez Bryant,WR,9227431,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Dez Bryant,Dez Bryant,0,100
Brice Butler,WR,9227433,5500,DAL@LAR 09:00PM ET,DAL,LAR,Q,5,Brice Butler,Brice Butler,0,100
Terrance Williams,WR,9227435,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Terrance Williams,Terrance Williams,0,100
Cole Beasley,WR,9227437,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Cole Beasley,Cole Beasley,0,100
Javontee Herndon,WR,9227439,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Javontee Herndon,Javontee Herndon,0,100
EZ Nwachukwu,WR,9227441,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,EZ Nwachukwu,EZ Nwachukwu,0,100
Ryan Switzer,WR,9227443,5500,DAL@LAR 09:00PM ET,DAL,LAR,Q,5,Ryan Switzer,Ryan Switzer,0,100
Andy Jones,WR,9227445,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Andy Jones,Andy Jones,0,100
Lance Lenoir,WR,9227447,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Lance Lenoir,Lance Lenoir,0,100
Brian Brown,WR,9227449,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Brian Brown,Brian Brown,0,100
Noah Brown,WR,9227451,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Noah Brown,Noah Brown,0,100
Blake Jarwin,TE,9227453,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Blake Jarwin,Blake Jarwin,0,100
Rico Gathers,TE,9227455,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Rico Gathers,Rico Gathers,0,100
Geoff Swaim,TE,9227457,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Geoff Swaim,Geoff Swaim,0,100
Connor Hamlett,TE,9227459,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Connor Hamlett,Connor Hamlett,0,100
James Hanna,TE,9227461,5500,DAL@LAR 09:00PM ET,DAL,LAR,Q,5,James Hanna,James Hanna,0,100
Jason Witten,TE,9227463,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Jason Witten,Jason Witten,0,100
Cowboys ,DST,9227465,5500,DAL@LAR 09:00PM ET,DAL,LAR,,5,Cowboys ,Cowboys ,0,100
Dan Orlovsky,QB,9227579,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Dan Orlovsky,Dan Orlovsky,0,100
Sean Mannion,QB,9227580,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Sean Mannion,Sean Mannion,0,100
Jared Goff,QB,9227581,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Jared Goff,Jared Goff,0,100
Justin Davis,RB,9227582,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Justin Davis,Justin Davis,0,100
Lenard Tillery,RB,9227584,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Lenard Tillery,Lenard Tillery,0,100
Todd Gurley,RB,9227586,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Todd Gurley,Todd Gurley,0,100
Sam Rogers,RB,9227588,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Sam Rogers,Sam Rogers,0,100
De'Mard Llorens,RB,9227590,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,De'Mard Llorens,De'Mard Llorens,0,100
Malcolm Brown,RB,9227592,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Malcolm Brown,Malcolm Brown,0,100
Aaron Green,RB,9227594,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Aaron Green,Aaron Green,0,100
Lance Dunbar,RB,9227596,5500,DAL@LAR 09:00PM ET,LAR,DAL,NA,5,Lance Dunbar,Lance Dunbar,0,100
Nelson Spruce,WR,9227598,5500,DAL@LAR 09:00PM ET,LAR,DAL,Q,5,Nelson Spruce,Nelson Spruce,0,100
Robert Woods,WR,9227600,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Robert Woods,Robert Woods,0,100
Tavon Austin,WR,9227602,5500,DAL@LAR 09:00PM ET,LAR,DAL,Q,5,Tavon Austin,Tavon Austin,0,100
Shakeir Ryan,WR,9227604,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Shakeir Ryan,Shakeir Ryan,0,100
Pharoh Cooper,WR,9227606,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Pharoh Cooper,Pharoh Cooper,0,100
Mike Thomas,WR,9227608,5500,DAL@LAR 09:00PM ET,LAR,DAL,O,5,Mike Thomas,Mike Thomas,0,100
K.D. Cannon,WR,9227610,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,K.D. Cannon,K.D. Cannon,0,100
Josh Reynolds,WR,9227612,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Josh Reynolds,Josh Reynolds,0,100
C.J. Germany,WR,9227614,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,C.J. Germany,C.J. Germany,0,100
Cooper Kupp,WR,9227616,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Cooper Kupp,Cooper Kupp,0,100
Justin Thomas,WR,9227618,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Justin Thomas,Justin Thomas,0,100
Paul McRoberts,WR,9227620,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Paul McRoberts,Paul McRoberts,0,100
Brandon Shippen,WR,9227622,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Brandon Shippen,Brandon Shippen,0,100
Travis Wilson,TE,9227624,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Travis Wilson,Travis Wilson,0,100
Temarrick Hemingway,TE,9227626,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Temarrick Hemingway,Temarrick Hemingway,0,100
Johnny Mundt,TE,9227628,5500,DAL@LAR 09:00PM ET,LAR,DAL,NA,5,Johnny Mundt,Johnny Mundt,0,100
Gerald Everett,TE,9227630,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Gerald Everett,Gerald Everett,0,100
Tyler Higbee,TE,9227632,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Tyler Higbee,Tyler Higbee,0,100
Cory Harkey,TE,9227634,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Cory Harkey,Cory Harkey,0,100
Rams ,DST,9227636,5500,DAL@LAR 09:00PM ET,LAR,DAL,,5,Rams ,Rams ,0,100
Josh McCown,QB,9227637,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Josh McCown,Josh McCown,0,100
Bryce Petty,QB,9227638,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Bryce Petty,Bryce Petty,0,100
Christian Hackenberg,QB,9227639,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Christian Hackenberg,Christian Hackenberg,0,100
Anthony Firkser,RB,9227640,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Anthony Firkser,Anthony Firkser,0,100
Julian Howsare,RB,9227642,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Julian Howsare,Julian Howsare,0,100
Elijah McGuire,RB,9227644,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Elijah McGuire,Elijah McGuire,0,100
Marcus Murphy,RB,9227646,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Marcus Murphy,Marcus Murphy,0,100
Algernon Brown,RB,9227648,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Algernon Brown,Algernon Brown,0,100
Romar Morris,RB,9227650,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,Q,5,Romar Morris,Romar Morris,0,100
Matt Forte,RB,9227652,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,Q,5,Matt Forte,Matt Forte,0,100
Bilal Powell,RB,9227654,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,Q,5,Bilal Powell,Bilal Powell,0,100
Jordan Todman,RB,9227656,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Jordan Todman,Jordan Todman,0,100
Myles White,WR,9227658,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Myles White,Myles White,0,100
Frankie Hammond Jr.,WR,9227660,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Frankie Hammond Jr.,Frankie Hammond Jr.,0,100
Robby Anderson,WR,9227662,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Robby Anderson,Robby Anderson,0,100
Charone Peake,WR,9227664,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Charone Peake,Charone Peake,0,100
Deshon Foxx,WR,9227666,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Deshon Foxx,Deshon Foxx,0,100
Marquess Wilson,WR,9227668,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Marquess Wilson,Marquess Wilson,0,100
Quincy Enunwa,WR,9227670,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,O,5,Quincy Enunwa,Quincy Enunwa,0,100
Jalin Marshall,WR,9227672,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,O,5,Jalin Marshall,Jalin Marshall,0,100
Lucky Whitehead,WR,9227674,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Lucky Whitehead,Lucky Whitehead,0,100
Chris Harper,WR,9227676,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Chris Harper,Chris Harper,0,100
Gabe Marks,WR,9227678,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Gabe Marks,Gabe Marks,0,100
Chad Hansen,WR,9227680,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,Q,5,Chad Hansen,Chad Hansen,0,100
ArDarius Stewart,WR,9227682,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,Q,5,ArDarius Stewart,ArDarius Stewart,0,100
Jason Vander Laan,TE,9227684,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Jason Vander Laan,Jason Vander Laan,0,100
Jordan Leggett,TE,9227686,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Jordan Leggett,Jordan Leggett,0,100
Eric Tomlinson,TE,9227688,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Eric Tomlinson,Eric Tomlinson,0,100
Austin Seferian-Jenkins,TE,9227690,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,O,5,Austin Seferian-Jenkins,Austin Seferian-Jenkins,0,100
Chris Gragg,TE,9227692,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Chris Gragg,Chris Gragg,0,100
Jets ,DST,9227694,5500,TEN@NYJ 07:30PM ET,NYJ,TEN,,5,Jets ,Jets ,0,100
Derek Carr,QB,9227527,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Derek Carr,Derek Carr,0,100
EJ Manuel,QB,9227528,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,EJ Manuel,EJ Manuel,0,100
Connor Cook,QB,9227529,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Connor Cook,Connor Cook,0,100
DeAndre Washington,RB,9227530,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,DeAndre Washington,DeAndre Washington,0,100
George Atkinson III,RB,9227532,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,George Atkinson III,George Atkinson III,0,100
Jamize Olawale,RB,9227534,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Jamize Olawale,Jamize Olawale,0,100
Marshawn Lynch,RB,9227536,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Marshawn Lynch,Marshawn Lynch,0,100
John Crockett,RB,9227538,5500,OAK@ARI 10:00PM ET,OAK,ARI,Q,5,John Crockett,John Crockett,0,100
Jalen Richard,RB,9227540,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Jalen Richard,Jalen Richard,0,100
Elijah Hood,RB,9227542,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Elijah Hood,Elijah Hood,0,100
Ishmael Zamora,WR,9227544,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Ishmael Zamora,Ishmael Zamora,0,100
Isaac Whitney,WR,9227546,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Isaac Whitney,Isaac Whitney,0,100
Johnny Holton,WR,9227548,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Johnny Holton,Johnny Holton,0,100
Keon Hatcher,WR,9227550,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Keon Hatcher,Keon Hatcher,0,100
Cordarrelle Patterson,WR,9227552,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Cordarrelle Patterson,Cordarrelle Patterson,0,100
Amari Cooper,WR,9227554,5500,OAK@ARI 10:00PM ET,OAK,ARI,Q,5,Amari Cooper,Amari Cooper,0,100
Jaydon Mickens,WR,9227556,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Jaydon Mickens,Jaydon Mickens,0,100
Seth Roberts,WR,9227558,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Seth Roberts,Seth Roberts,0,100
Michael Crabtree,WR,9227560,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Michael Crabtree,Michael Crabtree,0,100
K.J. Brent,WR,9227562,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,K.J. Brent,K.J. Brent,0,100
Clive Walford,TE,9227564,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Clive Walford,Clive Walford,0,100
Gabe Holmes,TE,9227566,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Gabe Holmes,Gabe Holmes,0,100
Cooper Helfet,TE,9227568,5500,OAK@ARI 10:00PM ET,OAK,ARI,O,5,Cooper Helfet,Cooper Helfet,0,100
Jared Cook,TE,9227570,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Jared Cook,Jared Cook,0,100
Lee Smith,TE,9227572,5500,OAK@ARI 10:00PM ET,OAK,ARI,Q,5,Lee Smith,Lee Smith,0,100
Pharaoh Brown,TE,9227574,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Pharaoh Brown,Pharaoh Brown,0,100
Ryan O'Malley,TE,9227576,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Ryan O'Malley,Ryan O'Malley,0,100
Raiders ,DST,9227578,5500,OAK@ARI 10:00PM ET,OAK,ARI,,5,Raiders ,Raiders ,0,100
Matt Cassel,QB,9227466,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,Q,5,Matt Cassel,Matt Cassel,0,100
Marcus Mariota,QB,9227467,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Marcus Mariota,Marcus Mariota,0,100
Tyler Ferguson,QB,9227468,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Tyler Ferguson,Tyler Ferguson,0,100
Alex Tanney,QB,9227469,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Alex Tanney,Alex Tanney,0,100
Brandon Radcliff,RB,9227470,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Brandon Radcliff,Brandon Radcliff,0,100
Derrick Henry,RB,9227472,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Derrick Henry,Derrick Henry,0,100
Joe Bacci,RB,9227474,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Joe Bacci,Joe Bacci,0,100
Khalfani Muhammad,RB,9227476,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Khalfani Muhammad,Khalfani Muhammad,0,100
Akeem Judd,RB,9227478,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Akeem Judd,Akeem Judd,0,100
Jalston Fowler,RB,9227480,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Jalston Fowler,Jalston Fowler,0,100
David Fluellen,RB,9227482,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,David Fluellen,David Fluellen,0,100
DeMarco Murray,RB,9227484,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,Q,5,DeMarco Murray,DeMarco Murray,0,100
Eric Decker,WR,9227486,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Eric Decker,Eric Decker,0,100
Eric Weems,WR,9227488,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Eric Weems,Eric Weems,0,100
Harry Douglas,WR,9227490,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Harry Douglas,Harry Douglas,0,100
Jonathan Krause,WR,9227492,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Jonathan Krause,Jonathan Krause,0,100
Rishard Matthews,WR,9227494,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Rishard Matthews,Rishard Matthews,0,100
Darius Jennings,WR,9227496,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Darius Jennings,Darius Jennings,0,100
Tre McBride,WR,9227498,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Tre McBride,Tre McBride,0,100
Giovanni Pascascio,WR,9227500,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Giovanni Pascascio,Giovanni Pascascio,0,100
Taywan Taylor,WR,9227502,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Taywan Taylor,Taywan Taylor,0,100
Mekale McKay,WR,9227504,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Mekale McKay,Mekale McKay,0,100
Tajae Sharpe,WR,9227506,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,NA,5,Tajae Sharpe,Tajae Sharpe,0,100
Corey Davis,WR,9227508,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,Q,5,Corey Davis,Corey Davis,0,100
KeVonn Mabon,WR,9227510,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,KeVonn Mabon,KeVonn Mabon,0,100
Phillip Supernaw,TE,9227512,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Phillip Supernaw,Phillip Supernaw,0,100
Jonnu Smith,TE,9227514,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Jonnu Smith,Jonnu Smith,0,100
Jace Amaro,TE,9227516,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Jace Amaro,Jace Amaro,0,100
Tim Semisch,TE,9227518,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Tim Semisch,Tim Semisch,0,100
Jerome Cunningham,TE,9227520,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Jerome Cunningham,Jerome Cunningham,0,100
Delanie Walker,TE,9227522,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Delanie Walker,Delanie Walker,0,100
Beau Brinkley,TE,9227524,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Beau Brinkley,Beau Brinkley,0,100
Titans ,DST,9227526,5500,TEN@NYJ 07:30PM ET,TEN,NYJ,,5,Titans ,Titans ,0,100
