Name,Position,ID,Salary,Game,Team,Opponent,Injury,fdp,exclude,lock,count,cap
Drew Stanton,QB,9227695,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Drew Stanton,Drew Stanton,0,100
Carson Palmer,QB,9227696,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Carson Palmer,Carson Palmer,0,100
Blaine Gabbert,QB,9227697,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Blaine Gabbert,Blaine Gabbert,0,100
Trevor Knight,QB,9227698,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Trevor Knight,Trevor Knight,0,100
T.J. Logan,RB,9227699,5500,OAK@ARI 10:00PM ET,ARI,OAK,O,5,T.J. Logan,T.J. Logan,0,100
James Summers,RB,9227701,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,James Summers,James Summers,0,100
Andre Ellington,RB,9227703,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Andre Ellington,Andre Ellington,0,100
Chris Johnson,RB,9227705,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Chris Johnson,Chris Johnson,0,100
Elijhaa Penny,RB,9227707,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Elijhaa Penny,Elijhaa Penny,0,100
Kerwynn Williams,RB,9227709,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Kerwynn Williams,Kerwynn Williams,0,100
David Johnson,RB,9227711,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,David Johnson,David Johnson,0,100
J.J. Nelson,WR,9227713,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,J.J. Nelson,J.J. Nelson,0,100
Aaron Dobson,WR,9227715,5500,OAK@ARI 10:00PM ET,ARI,OAK,Q,5,Aaron Dobson,Aaron Dobson,0,100
Larry Fitzgerald,WR,9227717,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Larry Fitzgerald,Larry Fitzgerald,0,100
Jeremy Ross,WR,9227719,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Jeremy Ross,Jeremy Ross,0,100
Jaron Brown,WR,9227721,5500,OAK@ARI 10:00PM ET,ARI,OAK,Q,5,Jaron Brown,Jaron Brown,0,100
John Brown,WR,9227723,5500,OAK@ARI 10:00PM ET,ARI,OAK,Q,5,John Brown,John Brown,0,100
Krishawn Hogan,WR,9227725,5500,OAK@ARI 10:00PM ET,ARI,OAK,,5,Krishawn Hogan,Krishawn Hogan,0,100
Chad Williams,WR,9227727,5500,OAK@ARI 10:00PM ET,ARI,OAK,Q,5,Chad Williams,Chad Williams,0,100
