Player,Position,ID,Team,Safe,Proj,Upside,Salary
Calvin McCarty,RB,9049170,EDM,1.30,3.32,6.26,2900
Redblacks ,DST,9049095,OTT,2.50,3.30,4.00,4400
George Johnson,WR,9049336,MTL,0.65,3.04,7.23,3100
Cory Watson,WR,9049282,EDM,0.41,2.45,6.29,4000
Rolly Lumbala,RB,9049200,BC,0.41,2.45,6.29,2500
Christophe Normand,RB,9049208,WPG,0.78,2.43,5.00,2500
Terrence Toliver,WR,9049284,HAM,0.24,1.97,5.46,4000
Rob Cote,RB,9049172,CGY,0.24,1.97,5.46,2900
Jean-Christophe Beaulieu,RB,9049212,MTL,0.63,1.82,3.63,2500
Jeremiah Masoli,QB,9049104,HAM,0.11,0.94,2.68,7800
Drew Tate,QB,9049106,OTT,0.00,0.50,2.49,6900
Dan LeFevour,QB,9049111,WPG,0.01,0.46,1.75,6500
Vernon Adams Jr.,QB,9049110,MTL,0.00,0.27,1.08,6600
